,Player,S,Team,Points,rush_TD,rec_TD,KR_TD,PR_TD,def_TD,XPM,FGM
73,"Jones, V.",16,PHI,78.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
74,"Justice, T.",16,SJS,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
75,"Kindle, H.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"L'Alto, V.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"LaMelllana, S.",16,COL,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
78,"Landers, B.",16,AZ,36.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
79,"Larson, P.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Maddox, E.",16,BAL,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
81,"Marshall, M.",16,YKW,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
82,"Mendonca, M.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"Moore, S.",16,AZ,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
84,"Murphy, J.",16,AZ,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
85,"Nagasawa, Y.",16,BAL,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
86,"Oles, K.",16,CHI,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
87,"Olsen, C.",16,SJS,54.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
88,"Orosz, C.",16,SJS,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,"Palmer, J.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"Parker, J.",16,YKW,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
91,"Pennington, B.",16,YKW,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
92,"Pitcher, A.",16,OCO,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
93,"Reed, A.",16,OCO,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,"Rudd, E.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,"Shady, S.",16,AZ,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
96,"Sunnycursed, N.",16,OCO,48.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
97,"Swift, N.",16,YKW,48.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
98,"Swift, T.",16,NO,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
99,"Taffy, T.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"Tidwell, R.",16,AUS,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
101,"Torenson, S.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"Valentine, V.",16,OCO,72.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
103,"Varga, N.",16,PHI,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
104,"Wizardry, D.",16,AUS,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
105,"Wright, D.",16,SJS,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,"Wright, R.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"Zephyrous, S.",16,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,"von Matt, J.",16,PHI,60.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
109,"Arnold, D.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"Barnes, B.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"Bishop, J.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,"Blaze, J.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"Danielsson, A.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"Emoji, E.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Espeeyeeseetee, A.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"Flash, X.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"Fyodorovich, V.",16,NO,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,"Garnett, L.",16,PHI,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,"Grithead, D.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,"Hardwick, S.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"Harrison, W.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"Helanen, T.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"Hornbacher, A.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Jensen, C.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,"Landers, B.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"Lattimer, A.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"Lavelle Jr., D.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"Lee, L.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,"Lejune, L.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,"Maddox, E.",16,BAL,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,"Methane, D.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,"Montgomery, B.",16,COL,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
133,"Morris, R.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"Mughes, H.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,"Oles, K.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,"Pitcher, A.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"Roenick, A.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,"Schmecondary2, Z.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,"Selich, A.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,"Snuggles, J.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,"Spector, M.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,"Sunnycursed, N.",16,OCO,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
143,"Swift, T.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,"Torenson, S.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"Tuck, J.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,"Valentine, V.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,"Wright, D.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"von Matt, J.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"A'Ton, L.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,"Acho, M.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,"Alexander, N.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,"Arnold, D.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,"Asipi III, A.",16,BAL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
154,"Bakshi, S.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,"Barnes, B.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"Batoff, R.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"Berry, M.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,"Bigby, L.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"Blaze, J.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"Bode, Q.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"Bohne, D.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,"Brown, M.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"Brown, M.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"Castle, S.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"Chains, J.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"Cheese Jr., D.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Christ, J.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Clark, T.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,"Cole, E.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"Cox III, J.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Cox, P.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,"Crane, F.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,"Crindy, B.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,"D'Attoria V, R.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,"Davenport, C.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,"Deringer, K.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,"Earl, B.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,"Eat, M.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"Emoji, E.",16,PHI,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180,"Faux, B.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"Flash, X.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,"Foster, W.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,"Francisco, S.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,"Gabagool, T.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,"Garnett, L.",16,PHI,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
186,"Ginsberg, D.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,"Gott, J.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,"Grau, M.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,"Green, W.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,"Grievous, L.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,"Grithead, D.",16,YKW,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
192,"Hank, F.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,"Hardshaft, R.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,"Harris, B.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,"Harrison, W.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,"Hasselhoff, F.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,"Henry, J.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,"Hobbs, J.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,"Hobbs, S.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,"Hondo, A.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,"Hornbacher, A.",16,BAL,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
202,"Horne, B.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,"Humuhumunukunukuapua'a, T.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,"Jefferson IV, J.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,"Jensen, C.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,"Jeremy, R.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,"Jones, B.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,"Jones, V.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,"Kalilmoku, I.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,"Knight, L.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,"Knurtsson, K.",16,COL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
212,"Kroustis, G.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,"Kuusela, G.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,"Landers, B.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,"Lattimer, A.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,"Lavelle Jr., D.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,"Leaf Jr., R.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,"Lee, L.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,"Lejune, L.",16,COL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
220,"Lewis, L.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,"Mack, M.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,"Marchand, J.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,"Marrett, O.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,"Maulolo, C.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,"Mbanefo, K.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,"McCoy, C.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,"McGwire, A.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,"McKinnie, L.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,"Mendonca, M.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,"Methane, D.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,"Montgomery, B.",16,COL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
232,"Morris, R.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,"Mughes, H.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,"Nikko, G.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,"Oats, S.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,"Orosz, C.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,"Palmer, J.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,"Pennington, C.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,"Pennington, T.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,"Poopsie, D.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,"Rambo, J.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,"Ramsey Jr., G.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,"Rax, L.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,"Rice, J.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,"Ridley, X.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,"Riposte, F.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,"Robertson, A.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,"Roenick, A.",16,BAL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
249,"Rowland, A.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,"Sachs, J.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,"Sackerman, F.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,"Sackless, S.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,"Salami, T.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,"Saul, C.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,"Schmecondary2, Z.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,"Schneider, D.",16,OCO,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
257,"Selich, A.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,"Sinclair, Q.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,"Skarsgard, T.",16,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,"Skinner, Z.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,"Slothface, J.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,"Smyles, L.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,"Snider, N.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,"Snuggles, J.",16,YKW,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
265,"Spector, M.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,"Staley, T.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,"Steele, C.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,"Stokeley, G.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,"Storm, J.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,"StrongSafety8, Z.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,"Swift, T.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,"Tackle, R.",16,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,"Taylor, C.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,"Taylor, D.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,"Tell, W.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,"Terim, F.",16,BAL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
277,"Thomas, S.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,"Torenson, S.",16,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,"Towers, J.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,"Townsend, F.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,"Trout, C.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,"Troyski, X.",16,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,"Tuck, J.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,"Uchiha, L.",16,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,"Vans, R.",16,AZ,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
286,"Verden, J.",16,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,"Walker, C.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,"Waynner, B.",16,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,"Williams VII, S.",16,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,"Willis, T.",16,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,"Woodham, A.",16,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,"Anderson, A.",16,COL,64.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0
293,"Brand, F.",16,BAL,94.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0
294,"Crisco, A.",16,AUS,58.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0
295,"Dasistwirklichseinnachname, A.",16,OCO,121.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0
296,"Donaldson, N.",16,SJS,103.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0
297,"Frost, A.",16,NO,93.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0
298,"Frost, K.",16,PHI,85.0,0.0,0.0,0.0,0.0,0.0,49.0,12.0
299,"Fulture, K.",16,CHI,131.0,0.0,0.0,0.0,0.0,0.0,26.0,35.0
300,"Harris Jr, S.",16,YKW,126.0,0.0,0.0,0.0,0.0,0.0,42.0,28.0
301,"Lawes, S.",16,AZ,99.0,0.0,0.0,0.0,0.0,0.0,33.0,22.0
0,"Armstrong, F.",17,OCO,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Bigby, L.",17,SJS,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Bigsby, C.",17,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Blaze, J.",17,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Boija, F.",17,SJS,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Brown, M.",17,PHI,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Canton, J.",17,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Carrasco, T.",17,COL,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Christ, J.",17,SJS,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Cole, E.",17,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Crindy, B.",17,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Danielsson, A.",17,CHI,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Falconi, A.",17,PHI,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Francisco, S.",17,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Gump, F.",17,NO,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Hank, F.",17,PHI,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Harp, D.",17,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Havran, C.",17,BAL,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Jenkins, R.",17,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"Jeremy, R.",17,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Jimbo, D.",17,BAL,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Jones, V.",17,BAL,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Marshall, M.",17,YKW,54.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"McDummy, W.",17,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Mendonca, M.",17,AUS,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Murphy, J.",17,AZ,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Orosz, C.",17,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Owens, A.",17,AUS,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Pancakes, P.",17,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"Pitcher, A.",17,OCO,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Reed, A.",17,OCO,66.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Reese, A.",17,AZ,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Shady, S.",17,AZ,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"Swift, N.",17,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Swift, T.",17,NO,54.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Taffy, T.",17,COL,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Torenson, S.",17,CHI,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Trevor, C.",17,BAL,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Trevor, C.",17,OCO,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"Zephyrous, S.",17,AZ,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Adams, R.",17,CHI,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,"Anoa'i, D.",17,AUS,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
42,"Batoff, R.",17,CHI,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
43,"Baxter, D.",17,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Bigby, L.",17,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"Bishop, J.",17,COL,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
46,"Blaze, J.",17,OCO,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
47,"Boija, F.",17,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"BotCatcher, Z.",17,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"Brown, M.",17,PHI,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
50,"CantCatchBot, Z.",17,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"Canton, J.",17,YKW,78.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
52,"Carrasco, T.",17,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"Catchem5, Z.",17,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"Crindy, B.",17,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
